indicador,clase,nombre,detalle,fuente,fuente_link,actualizacion,corte_muestra,unidad,tipo,formula,umbral_optimo,umbral_malo,ods,meta,aue1,aue2,muestra_ods,muestra_aue,le,le2
D-1,Descriptivo AUE,Variación de la población en los últimos diez años disponibles,,,,,,%,QT,,,,,,1;2;3;4;5;6;7;8;9;10,1;2;3;4;5;6;7;8;9;10,,D-1,,
D-2-a,Descriptivo AUE,Superficie de cobertura artificial por municipio,,,,,,%,QT,,,,,,1;3,1;3,,D-2-a,,
D-2-b,Descriptivo AUE,Superficie de cultivos por municipio,,,,,,%,QT,,,,,,1;3,1;3,,D-2-b,,
D-2-d,Descriptivo AUE,Superficie de zona forestal y dehesas por municipio,,,,,,%,QT,,,,,,1;3,1;3,,D-2-d,,
D-3-a,Descriptivo AUE,Superficie municipal destinada a explotaciones agrarias y forestales,,,,,,%,QT,,,,,,1;3,1;3,,D-3-a,,
D-3-b,Descriptivo AUE,Superficie destinada a explotaciones agrarias y forestales respecto al suelo urbano y urbanizable delimitado de la ciudad,,,,,,%,QT,,,,,,1;3,1;3,,D-3-b,,
D-4,Descriptivo AUE,Superficie municipal de suelo no urbanizable,,,,,,%,QT,,,,,,1;10,1;10,,D-4,,
D-5,Descriptivo AUE,Superficie de zonas verdes por cada 1.000 habitantes,,,,,,m2/Hab,QT,,,,,,1;3,1;3,,D-5,,
D-6,Descriptivo AUE,Densidad Urbana,Número de habitantes por hectárea de superficie de suelo urbano,,,,,hab/ha,QT,,,,,,1;2;4;5;6;7;8;9,1;2;4;5;6;7;8;9,,D-6,,
D-7,Descriptivo AUE,Superficie de suelo urbano mixto discontinuo sobre suelo urbano mixto total,,,,,,%,QT,,,,,,1;2;5,1;2;5,,D-7,,
D-8,Descriptivo AUE,Densidad de vivienda por superficie de suelo urbano,,,,,,Viv/Hab,QT,,,,,,1;2;4;5;6;7;8;9,1;2;4;5;6;7;8;9,,D-8,,
D-9,Descriptivo AUE,Compacidad urbana,Superficie construida total por superficie de suelo,,,,,%,QT,,,,,,2;5;6,2;5;6,,D-9,,
D-10-a,Descriptivo AUE,Superficie construida de uso residencial por superficie de suelo,,,,,,%,QT,,,,,,2;5;6,2;5;6,,D-10-a,,
D-10-b,Descriptivo AUE,Superficie construida de uso residencial respecto al total de superficie construida,,,,,,%,QT,,,,,,2;5;6,2;5;6,,D-10-b,,
D-ST-1,Descriptivo AUE,Densidad de viviendas previstas en las áreas de suelo de desarrollo,,,,,,Viv/Hab,QT,,,,,,2;5;6;8,2;5;6;8,,D-ST-1,,
D-ST-2,Descriptivo AUE,Porcentaje de áreas de suelo de desarrollo respecto al total del suelo urbano,,,,,,%,QT,,,,,,1;2;10,1;2;10,,D-ST-2,,
D-ST-3,Descriptivo AUE,Suelo urbanizable delimitado respecto al total del suelo urbano,,,,,,%,QT,,,,,,1;2;10,1;2;10,,D-ST-3,,
D-ST-4,Descriptivo AUE,Porcentaje de áreas de suelo en desarrollo de uso residencial respecto al total de suelo urbano,,,,,,%,QT,,,,,,1;2,1;2,,D-ST-4,,
D-ST-5,Descriptivo AUE,Porcentaje de áreas de suelo en desarrollo de uso actividades económica (industrial o terciario) respecto al total de suelo urbano,,,,,,%,QT,,,,,,1;2;6;7,1;2;6;7,,D-ST-5,,
D-14,Descriptivo AUE,Porcentaje del parque edificatorio por municipio con una antigüedad anterior al año 2000,,,,,,%,QT,,,,,,2;3;4,2;3;4,,D-14,,
D-17-a,Descriptivo AUE,Superficie de infraestructuras de transporte,,,,,,ha,QT,,,,,,1;5,1;5,,D-17-a,,
D-17-b,Descriptivo AUE,Porcentaje de superficie de infraestructuras de transporte respecto al término municipal,,,,,,%,QT,,,,,,1;5,1;5,,D-17-b,,
D-18-a,Descriptivo AUE,Vehículos domiciliados cada 1000 habitantes,,,,,,x 1.000,QT,,,,,,3;5,3;5,,D-18-a,,
D-18-b,Descriptivo AUE,Porcentaje de Turismos,,,,,,%,QT,,,,,,3;5,3;5,,D-18-b,,
D-18-c,Descriptivo AUE,Porcentaje de motocicletas,,,,,,%,QT,,,,,,3;5,3;5,,D-18-c,,
D-18-d,Descriptivo AUE,Antigüedad de parque de vehiculos,,,,,,%,QT,,,,,,3;5,3;5,,D-18-d,,
D-22-a,Descriptivo AUE,Índice de envejecimiento de la población,,,,,,%,QT,,,,,,2;5;6;7;8;9;10,2;5;6;7;8;9;10,,D-22-a,,
D-22-b,Descriptivo AUE,Índice de senectud de la población,,,,,,%,QT,,,,,,2;5;6;7;8;9;10,2;5;6;7;8;9;10,,D-22-b,,
D-23,Descriptivo AUE,Porcentaje de población extranjera,,,,,,%,QT,,,,,,2;6;7,2;6;7,,D-23,,
D-24-a,Descriptivo AUE,Índice de dependencia total,,,,,,%,QT,,,,,,2;6;7,2;6;7,,D-24-a,,
D-24-b,Descriptivo AUE,Índice de dependencia infantil,,,,,,%,QT,,,,,,2;6;7,2;6;7,,D-24-b,,
D-24-c,Descriptivo AUE,Índice de dependencia de mayores,,,,,,%,QT,,,,,,2;6;7,2;6;7,,D-24-c,,
D-26-a,Descriptivo AUE,Trabajadores en sector agricultura,,,,,,%,QT,,,,,,6;7;9,6;7;9,,D-26-a,,
D-26-b,Descriptivo AUE,Trabajadores en sector industria,,,,,,%,QT,,,,,,6;7;9,6;7;9,,D-26-b,,
D-26-c,Descriptivo AUE,Trabajadores en sector construcción,,,,,,%,QT,,,,,,6;7;9,6;7;9,,D-26-c,,
D-26-d,Descriptivo AUE,Trabajadores en sector servicios,,,,,,%,QT,,,,,,6;7;9,6;7;9,,D-26-d,,
D-27-a,Descriptivo AUE,Establecimientos en sector agricultura,,,,,,%,QT,,,,,,7;9,7;9,,D-27-a,,
D-27-b,Descriptivo AUE,Establecimientos en sector industria,,,,,,%,QT,,,,,,7;9,7;9,,D-27-b,,
D-27-c,Descriptivo AUE,Establecimientos en sector construcción,,,,,,%,QT,,,,,,7;9,7;9,,D-27-c,,
D-27-d,Descriptivo AUE,Establecimientos en sector servicios,,,,,,%,QT,,,,,,7;9,7;9,,D-27-d,,
D-28-a,Descriptivo AUE,Porcentaje de parados total,,,,,,%,QT,,,,,,6;7,6;7,,D-28-a,,
