codigo_ine,objetivo_aue,promedio_indice,n_indicadores,periodo_max
43,1,12.446123021916668,12,2026
43,2,72.52249198,8,2025
43,3,48.284970314000006,10,2025
43,4,56.08544936246154,13,2025
43,5,41.784675547444444,9,2025
43,6,66.783872425,2,2024
43001,1,42.3954422075,8,2025
43001,2,70.09682880375,8,2025
43001,3,72.60514200666665,9,2025
43001,4,60.230247478416665,12,2025
43001,5,40.35337417871428,7,2025
43001,6,18.22806276,2,2024
43002,1,65.83396120428571,7,2025
43002,2,69.12901421375,8,2025
43002,3,67.44769546625,8,2025
43002,4,65.65665271583333,12,2025
43002,5,55.19567772714286,7,2025
43002,6,66.28941416,2,2024
43003,1,45.8533521025,8,2025
43003,2,86.17504968875,8,2025
43003,3,70.63971438333334,9,2025
43003,4,77.8642520923077,13,2025
43003,5,72.845002195,8,2025
43003,6,26.80430769,2,2024
43004,1,37.94067203075,10,2025
43004,2,61.0999591025,8,2025
43004,3,60.762016702500006,9,2025
43004,4,58.64792765235715,14,2025
43004,5,38.58457344366666,9,2025
43004,6,71.17676996,2,2024
43005,1,24.898102453307693,13,2026
43005,2,77.01402719625,8,2025
43005,3,58.239545433900005,10,2025
43005,4,60.12039109384615,13,2025
43005,5,44.43514757333333,9,2025
43005,6,75.489934405,2,2024
43006,1,25.329661737512502,8,2025
43006,2,73.97497654874999,8,2025
43006,3,58.72149013556667,9,2025
43006,4,62.53680091166667,12,2025
43006,5,55.215719611428575,7,2025
43006,6,34.32330769,2,2024
43007,1,35.98261331771429,7,2025
43007,2,67.9811277825,8,2025
43007,3,57.35220371822223,9,2025
43007,4,70.90450942166667,12,2025
43007,5,58.98940158285715,7,2025
43007,6,27.31876923,2,2024
43008,1,40.60421253125,8,2025
43008,2,63.120910461666675,6,2025
43008,3,79.83416815555556,9,2025
43008,4,64.66798336000001,12,2025
43008,5,49.390206360571426,7,2025
43008,6,21.750076925,2,2024
43009,1,23.992097319750002,8,2025
43009,2,73.78743816,8,2025
43009,3,62.67220130777778,9,2025
43009,4,63.811095365,12,2025
43009,5,46.659211637714286,7,2025
43009,6,30.565153845,2,2024
43010,1,47.487349732333335,9,2025
43010,2,69.1585618125,8,2025
43010,3,62.3450922525,8,2025
43010,4,78.02354602166666,12,2025
43010,5,74.36791409857142,7,2025
43010,6,49.177547893,2,2024
43011,1,39.03490207193572,14,2026
43011,2,86.44205664875,8,2025
43011,3,58.59304050491001,10,2025
43011,4,77.24288951714286,14,2025
43011,5,66.40674703363636,11,2025
43011,6,57.62723366,2,2024
43012,1,34.77651297512442,14,2026
43012,2,82.49440710875,8,2025
43012,3,60.19418306597419,10,2025
43012,4,75.84425710071427,14,2025
43012,5,55.838940707272734,11,2025
43012,6,70.81259896,2,2024
43013,1,39.755395805,8,2025
43013,2,73.69692439375,8,2025
43013,3,52.624135429999995,9,2025
43013,4,53.19524075538462,13,2025
43013,5,54.87670242285714,7,2025
43013,6,68.635392025,2,2024
43014,1,37.74706340208889,9,2025
43014,2,66.5604367675,8,2025
43014,3,54.07787885666667,9,2025
43014,4,60.08827750146153,13,2025
43014,5,61.53977634428571,7,2025
43014,6,62.08210812,2,2024
43015,1,57.95626282714285,7,2025
43015,2,53.239461596666665,6,2025
43015,3,70.61862004222222,9,2025
43015,4,58.27894067090909,11,2025
43015,5,49.4202254,7,2025
43015,6,0.0,1,2024
43016,1,26.499530629175002,8,2025
43016,2,63.39525662375,8,2025
43016,3,49.42883340215556,9,2025
43016,4,58.51459177738462,13,2025
43016,5,47.800414544285715,7,2025
43016,6,77.53245872,2,2024
43017,1,40.895964341428574,7,2025
43017,2,50.31533413,6,2025
43017,3,62.358016479999996,9,2025
43017,4,66.01366357916667,12,2025
43017,5,64.05215719285715,7,2025
43017,6,47.80223077,2,2024
43018,1,52.37698715225,8,2025
43018,2,73.99927491333334,6,2025
43018,3,82.02041859222223,9,2025
43018,4,72.12445932,12,2025
43018,5,55.57226774142857,7,2025
43018,6,50.0,2,2024
43019,1,40.38383381375,8,2025
43019,2,65.24272292375,8,2025
43019,3,55.96805515688889,9,2025
43019,4,63.94015797433334,12,2025
43019,5,49.63587605428571,7,2025
43019,6,95.990535885,2,2024
43020,1,36.92546468125,8,2025
43020,2,80.64525172625,8,2025
43020,3,58.807386932222215,9,2025
43020,4,66.52743660083333,12,2025
43020,5,66.07891532857143,7,2025
43020,6,74.65460303,2,2024
43021,1,54.627418795333334,9,2025
43021,2,62.82840594333334,6,2025
43021,3,67.37392425311111,9,2025
43021,4,70.76791234384615,13,2025
43021,5,51.986266341428575,7,2025
43021,6,57.956748090000005,2,2024
43022,1,46.16364603875,8,2025
43022,2,76.46319830125,8,2025
43022,3,62.84066274888889,9,2025
43022,4,77.23264174333333,12,2025
43022,5,74.1432476957143,7,2025
43022,6,52.182085501,2,2024
43023,1,54.039098205875,8,2025
43023,2,71.67726676,6,2025
43023,3,70.26516050966667,9,2025
43023,4,79.67842092916666,12,2025
43023,5,62.15976478714286,7,2025
43023,6,50.0,2,2024
43024,1,44.961035778875,8,2025
43024,2,64.26073837875,8,2025
43024,3,50.12265561444445,9,2025
43024,4,68.4308834575,12,2025
43024,5,66.64288027714285,7,2025
43024,6,76.72415743,2,2024
43025,1,39.41740433625,8,2025
43025,2,73.92940301,8,2025
43025,3,75.29095065555556,9,2025
43025,4,71.70067923333333,12,2025
43025,5,52.21224020285714,7,2025
43025,6,45.18069231,2,2024
