codigo_ine,ods_objetivo,promedio_metas,n_metas
43,1,37.831103064266664,5
43,10,57.96341114888889,3
43,11,19.861953215,5
43,12,68.140721425,2
43,13,0.0,1
43,14,53.23123333333333,1
43,15,2.860611135,2
43,16,49.35496887,4
43,17,23.926768857333332,3
43,2,26.1812111145,3
43,3,67.696219266875,8
43,4,51.383702000308325,6
43,5,84.99710754833333,3
43,6,51.156293979,2
43,7,75.80593772,2
43,8,60.424335577916665,4
43,9,64.20191114866667,3
43001,1,40.61676998525,4
43001,10,58.04094111999999,3
43001,11,76.978354792,5
43001,12,57.79209570275,2
43001,13,22.38543999,1
43001,15,73.0559691725,2
43001,16,55.00260122,2
43001,17,32.13273443,2
43001,2,47.601637825750004,2
43001,3,100.0,1
43001,4,51.441230320272,5
43001,5,67.38873731833333,3
43001,6,57.27816966,1
43001,7,29.42319563,2
43001,8,84.08048613375,4
43001,9,41.44848877333333,3
43002,1,63.973760470833334,4
43002,10,66.85488502388888,3
43002,11,58.345293510000005,4
43002,12,56.468065425,2
43002,13,96.1605261,1
43002,15,49.996560887499996,2
43002,16,66.28941416,2
43002,17,31.2146259425,2
43002,2,19.60937739125,2
43002,3,100.0,1
43002,4,61.59765739098,5
43002,5,73.09388509333333,3
43002,6,98.19659852,1
43002,7,78.32980874,2
43002,8,63.93287145083333,4
43002,9,47.283958829999996,3
43003,1,65.81263067,4
43003,10,83.2017477,3
43003,11,50.614953912,5
43003,12,79.6411905,2
43003,13,74.10769148,1
43003,15,78.25766641249999,2
43003,16,50.0,2
43003,17,34.259284969999996,2
43003,2,20.093663425708332,3
43003,3,70.36488948625001,4
43003,5,60.996497354999995,3
43003,6,100.0,1
43003,7,88.55542396000001,2
43003,8,79.54612782666666,4
43003,9,31.014274880000002,3
43004,1,44.54245304916667,4
43004,10,40.7673151975,3
43004,11,41.52156370375,6
43004,12,51.238999075749994,2
43004,13,0.0,1
43004,14,50.0,1
43004,15,47.482047357499994,2
43004,16,71.17676996,2
43004,17,15.357796313466666,3
43004,2,39.02273031475001,2
43004,3,100.0,1
43004,4,65.56420032523,5
43004,5,84.22303841833333,3
43004,6,94.88210773,2
43004,7,63.90406739,2
43004,8,72.06867957291666,4
43004,9,76.49848452666667,3
43005,1,73.09666437416666,4
43005,10,79.63458632277778,3
43005,11,57.2233897598,5
43005,12,77.52723072250001,2
43005,13,0.0,1
43005,15,61.3901145625,2
43005,16,75.489934405,2
43005,17,30.9778226325,2
43005,2,28.38032343908333,3
43005,3,78.61178248499999,4
43005,4,64.5092233635,5
43005,5,92.63021013999999,3
43005,6,77.40531487,2
43005,7,43.25592965,2
43005,8,50.717527402916666,4
43005,9,73.62694743,3
43006,1,58.7895985,5
43006,10,54.891121292777775,3
43006,11,61.51231796,5
43006,12,78.741034385,2
43006,13,0.0,1
43006,15,49.253893047525,2
43006,16,50.0,2
43006,17,26.4133204845,2
43006,2,53.0227091175,2
43006,3,100.0,1
43006,4,60.632806951999996,5
43006,5,91.08297273333334,3
43006,6,100.0,1
43006,7,74.721170375,2
43006,8,56.94505902,4
43006,9,39.78734523,3
43007,1,69.98063199666667,3
43007,10,82.85317736055555,3
43007,11,54.41403712180001,5
43007,12,82.5646807225,2
43007,13,84.23574208,1
43007,15,56.387985705000006,2
43007,16,50.0,2
43007,17,25.152637972925,2
43007,2,34.233784995,3
43007,3,73.85337224875,4
43007,4,100.0,1
43007,5,81.57405471,3
43007,6,100.0,1
43007,7,76.64916566,2
43007,8,61.775741699166666,4
43007,9,18.21251282,3
43008,1,54.77718633,3
43008,10,36.14170043833334,2
43008,11,63.297997159750004,4
43008,12,76.507545925,2
43008,13,0.0,1
43008,15,99.91463978,2
43008,16,50.0,2
43008,17,33.309760865,2
43008,2,37.3158277745,2
43008,3,100.0,1
43008,4,100.0,1
43008,5,87.82553289666667,3
43008,6,100.0,1
43008,7,66.74667755,2
43008,8,76.96132675125,4
43008,9,41.588952123333335,3
43009,1,51.4784840896,5
43009,10,75.19442175444443,3
43009,11,45.4924970158,5
43009,12,69.07975705000001,2
43009,13,0.0,1
43009,15,68.8778799775,2
43009,16,50.0,2
43009,17,26.0961563055,2
43009,2,28.548558726125002,2
43009,3,100.0,1
43009,4,65.904777247203,5
43009,5,85.92199015666667,3
43009,6,100.0,1
43009,7,80.57522442999999,2
43009,8,69.72536633833333,4
43009,9,58.29418965666667,3
43010,1,59.17339768,4
43010,10,71.9219949861111,3
43010,11,61.987972484,5
43010,12,90.12496937,2
43010,13,94.72933669,1
43010,15,25.97777025,2
43010,16,51.138317123,2
43010,17,31.23486454,2
43010,2,24.35296910175,2
43010,3,100.0,1
43010,4,100.0,1
43010,5,90.40351548833333,3
43010,6,100.0,1
43010,7,76.60268557,2
43010,8,57.482773865555565,3
43010,9,98.69282051333334,3
43011,1,89.74536327,3
43011,10,86.79528090777778,3
43011,11,54.69785705068333,6
43011,12,91.50284177500001,2
43011,13,96.70046769,1
43011,15,40.572229234999995,2
43011,16,57.62723366,2
43011,17,29.8739564125,2
43011,2,28.320196669999998,2
43011,3,100.0,1
43011,4,77.83891082170001,5
43011,5,80.36410194666666,3
43011,6,99.93128049,1
43011,7,98.43053428,2
43011,8,69.28267611666666,4
43011,9,54.45592052999999,3
43012,1,85.06393330333333,4
43012,10,68.0362483641111,3
43012,11,37.164743629340315,6
43012,12,51.26702215,2
43012,13,95.95718969,1
43012,14,66.66666666666667,1
43012,15,5.085361975925,2
43012,16,70.81259896,2
43012,17,41.663712472499995,2
43012,2,9.931829863625,2
43012,3,100.0,1
43012,4,72.0248170309,5
43012,5,94.44236460333333,3
43012,6,91.09246575,1
43012,7,85.9436137,2
43012,8,75.468201208126,4
43012,9,67.76321366566667,3
43013,1,55.9736838575,4
43013,10,48.143409580555556,3
43013,11,53.04340037300001,5
43013,12,14.10806175,2
43013,13,0.0,1
43013,14,51.06643480333333,1
43013,15,30.413569585,2
43013,16,70.00723818,2
43013,17,18.95951698,2
43013,2,40.320249505,2
43013,3,100.0,1
43013,4,55.814,1
43013,5,74.33040558666666,3
43013,6,30.989283655,2
43013,7,62.50548276,2
43013,8,79.00576050416666,4
43013,9,55.62423418,3
43014,1,38.229334905,4
43014,10,37.38243246444444,3
43014,11,44.98896576,5
43014,12,68.1408707875,2
43014,13,44.83333039,1
43014,14,99.10276002,1
43014,15,55.2587939825,2
43014,16,47.86814523375,4
43014,17,51.1565212525,2
43014,2,29.66950889163333,3
43014,3,63.01727633910714,8
43014,4,51.66346128135,6
43014,5,85.12202232166668,3
43014,6,95.606734725,2
43014,7,67.399140525,2
43014,8,62.68831350958333,4
43014,9,74.24198555483333,3
43015,1,100.0,2
43015,10,59.962444903333335,2
43015,11,73.83341110625,4
43015,12,40.320714635,2
43015,13,29.45871926,1
43015,15,98.4327027,2
43015,16,50.0,2
43015,17,26.56325015075,2
43015,2,40.36273333325,2
43015,3,100.0,1
43015,5,97.03304597666666,3
43015,6,100.0,1
43015,7,79.17171532500001,2
43015,8,74.40275489000001,4
43015,9,1.4267757305,2
43016,1,45.613828124166666,4
43016,10,56.61806454277778,3
43016,11,39.3345122255,5
43016,12,90.3286114075,2
43016,13,0.0,1
43016,15,20.18578653135,2
43016,16,77.53245872,2
43016,17,31.478669902500002,2
43016,2,11.39780403925,2
43016,3,100.0,1
43016,4,0.0,1
43016,5,69.69235003666667,3
43016,6,47.01503772,2
43016,7,29.609519675,2
43016,8,52.775670279,4
43016,9,85.75789192,3
43017,1,92.57743880000001,2
