indicador,nombre,unidad,municipios,conteo,minimo,maximo,desv_tipica,percentil25,percentil75,percentil10,percentil90,origen,umbral_optimo,umbral_malo
1,Porcentaje de población con ingresos inferiores al 40% de la mediana,%,129,1111,1.30,20.80,3.27,6.70,11.40,5.20,13.60,REDS,0.00,23.36
3,Renta mediana,€,180,1600,10850.00,31850.00,2825.61,14350.00,18550.00,13650.00,19950.00,Media Catalunya; Media España,21350.00,19250.00
2,Tasa de pobreza,%,129,1111,5.80,32.50,5.37,15.30,23.50,12.20,26.10,REDS,0.00,38.37
210,Tasa de pobreza infantil,%,57,507,2.80,30.90,5.26,11.25,18.95,8.40,22.24,REDS,0.00,49.41
5,Renta Garantizada de Ciudadanía por 10.000 habitantes,x10.000 hab,136,724,13.70,1250.00,124.93,76.61,190.85,47.15,273.35,Catalunya Máx. Winsorizado 1; Media Catalunya,117.60,594.06
7,Proporción de personas con discapacidad que perciben una pensión,%,90,702,1.03,66.37,6.45,4.07,7.23,2.98,9.37,Catalunya Máx. Winsorizado 1; Mínimo Catalunya,12.90,0.00
8,Número de refugios climáticos gratuitos,x10.000 hab,95,95,0.68,285.71,52.45,6.00,34.07,2.74,83.02,Media Catalunya; Mínimo Catalunya,24.35,0.14
9,Superficie agrícola ecológica (porcentaje sobre el total agrícola),ha,185,369,0.00,49.53,9.45,1.82,12.54,0.00,22.07,REDS,26.59,0.19
10,Tierras agrícolas por 100 habitantes,ha x100 hab,185,554,0.13,1921.29,236.49,6.99,66.86,1.31,129.89,Media Catalunya; Mínimo Catalunya,127.00,0.00
12,Porcentaje de hectáreas de explotaciones de pequeña escala,%,185,554,0.00,57.98,11.61,3.88,19.28,1.83,31.56,Percentil 90 Catalunya; Mínimo Catalunya,16.14,0.00
13,Porcentaje de explotaciones de pequeña escala,%,185,554,0.00,75.95,18.82,22.23,51.73,10.83,63.75,Percentil 90 Catalunya; Mínimo Catalunya,47.47,10.81
212,Tasa de ocupación en el sector agrícola,%,185,2035,0.00,73.77,14.54,5.17,27.27,1.49,37.75,REDS,9.57,0.06
81,Número de operadores de producción ecológica,x10.000 hab,155,1089,0.38,1231.88,144.09,10.96,117.88,4.02,252.82,Media Catalunya; Percentil 10 Catalunya,83.14,1.86
219,Mortalidad infantil,x1.000 nacidos vivos,16,144,0.00,34.88,6.56,4.05,11.03,0.00,14.64,REDS,0.00,9.75
218,Defunciones por hepatitis vírica,x100.000 hab,16,144,0.00,13.59,2.42,0.00,0.80,0.00,4.04,REDS,0.00,5.57
224,Defunciones por tuberculosis,x100.000 hab,16,144,0.00,7.97,1.22,0.00,0.00,0.00,0.93,REDS,0.00,3.73
226,Defunciones por sida y VIH,x100.000 hab,16,144,0.00,8.47,1.59,0.00,0.00,0.00,2.73,REDS,0.00,4.09
217,Defunciones por enfermedades infecciosas del sistema respiratorio,x100.000 hab,16,144,0.00,66.44,10.83,11.62,27.01,7.34,33.43,REDS,0.00,95.52
220,Defunciones por enfermedades no transmisibles,x100.000 hab,16,144,280.24,908.54,125.81,430.68,585.86,374.61,689.99,REDS,128.81,1630.19
221,Defunciones prematuras (menores de 65 años),x100.000 hab,16,144,105.61,324.38,36.64,155.86,199.30,134.74,229.64,REDS,23.92,402.30
222,Defunciones por suicidio,x100.000 hab,16,144,0.00,28.22,5.93,4.92,11.63,0.00,15.73,REDS,0.00,13.84
